time x1 y1 x2 y2
0.000000000000000000e+00 4.000000000000000222e-01 -2.449293598294706538e-17 8.000000000000000444e-01 -4.898587196589413075e-17
1.000000000000000048e-04 3.999999999999953038e-01 -6.131249999048578243e-08 7.999999999999953815e-01 -6.131250001497871948e-08
2.000000000000000096e-04 3.999999999999248601e-01 -2.452499999772677557e-07 7.999999999999248823e-01 -2.452500000017606663e-07
3.000000000000000279e-04 3.999999999996193822e-01 -5.518124999847092343e-07 7.999999999996194600e-01 -5.518125000092021449e-07
4.000000000000000192e-04 3.999999999987970956e-01 -9.810000000123059160e-07 7.999999999987971178e-01 -9.810000000367989325e-07
5.000000000000000104e-04 3.999999999970631492e-01 -1.532812500058747017e-06 7.999999999970631714e-01 -1.532812500083240034e-06
6.000000000000000559e-04 3.999999999939101158e-01 -2.207250000032492100e-06 7.999999999939101381e-01 -2.207250000056984904e-06
6.999999999999999929e-04 3.999999999887176583e-01 -3.004312500017446976e-06 7.999999999887177360e-01 -3.004312499953122023e-06
8.000000000000000383e-04 3.999999999807528073e-01 -3.924000000005557422e-06 7.999999999807527740e-01 -3.923999999763596531e-06
9.000000000000000838e-04 3.999999999691696839e-01 -4.966312500073327029e-06 7.999999999691697061e-01 -4.966312499476095109e-06
1.000000000000000021e-03 3.999999999530097217e-01 -6.131250000202877898e-06 7.999999999530097439e-01 -6.131249998983921253e-06
1.100000000000000066e-03 3.999999999312015553e-01 -7.418812500369301329e-06 7.999999999312015220e-01 -7.418812498084530751e-06
1.200000000000000112e-03 3.999999999025609654e-01 -8.829000000627839118e-06 7.999999999025609876e-01 -8.828999996744347215e-06
1.300000000000000157e-03 3.999999998657910449e-01 -1.036181250102324002e-05 7.999999998657910671e-01 -1.036181249465284752e-05
1.399999999999999986e-03 3.999999998194821438e-01 -1.201725000149896288e-05 7.999999998194822215e-01 -1.201724999148704022e-05
1.500000000000000031e-03 3.999999997621117576e-01 -1.379531250225028438e-05 7.999999997621117798e-01 -1.379531248708692586e-05
1.600000000000000077e-03 3.999999996920444723e-01 -1.569600000327787536e-05 7.999999996920444945e-01 -1.569599998083145482e-05
1.700000000000000122e-03 3.999999996075325193e-01 -1.771931250465174818e-05 7.999999996075325415e-01 -1.771931247234654515e-05
1.800000000000000168e-03 3.999999995067148317e-01 -1.986525000650858177e-05 7.999999995067148539e-01 -1.986524996096952233e-05
1.899999999999999996e-03 3.999999993876179882e-01 -2.213381250904885190e-05 7.999999993876180104e-01 -2.213381244601267690e-05
2.000000000000000042e-03 3.999999992481554911e-01 -2.452500001226738148e-05 7.999999992481554578e-01 -2.452499992640502042e-05
2.100000000000000304e-03 3.999999990861282662e-01 -2.703881251648302761e-05 7.999999990861282884e-01 -2.703881240139959858e-05
2.200000000000000133e-03 3.999999988992244404e-01 -2.967525002180240463e-05 7.999999988992244626e-01 -2.967524986959311494e-05
2.299999999999999961e-03 3.999999986850192313e-01 -3.243431252847162304e-05 7.999999986850192535e-01 -3.243431232963296971e-05
2.400000000000000223e-03 3.999999984409752241e-01 -3.531600003678374609e-05 7.999999984409752463e-01 -3.531599978003585572e-05
2.500000000000000052e-03 3.999999981644420943e-01 -3.832031254698609383e-05 7.999999981644421165e-01 -3.832031221891748043e-05
2.600000000000000314e-03 3.999999978526568301e-01 -4.144725005945378666e-05 7.999999978526568523e-01 -4.144724964425487165e-05
2.700000000000000143e-03 3.999999975027437316e-01 -4.469681257450791785e-05 7.999999975027437538e-01 -4.469681205379340386e-05
2.799999999999999972e-03 3.999999971117140785e-01 -4.806900009267756448e-05 7.999999971117141007e-01 -4.806899944495353648e-05
